# This file contains all non-dominated populations of all generations.
RS#	Cum.Gen	Index	Objective1	Objective2	Rank	CrowdingDistance	FieldID_1	FieldID_2	FieldID_3	FieldID_4	FieldID_5	FieldID_6	FieldID_7	FieldID_8	FieldID_9	FieldID_10	FieldID_11	FieldID_12	FieldID_13	FieldID_14	FieldID_15	FieldID_16	FieldID_17	FieldID_18	FieldID_19	FieldID_20	FieldID_21	FieldID_22	FieldID_23	FieldID_24	FieldID_25	FieldID_26	FieldID_27	FieldID_28	FieldID_29	FieldID_30	FieldID_31	FieldID_32	FieldID_33	FieldID_34	FieldID_35	FieldID_36	FieldID_37	FieldID_38	FieldID_39	FieldID_40	FieldID_41	FieldID_42	FieldID_43	FieldID_44	FieldID_45	FieldID_46	FieldID_47	FieldID_48	FieldID_49	FieldID_50	FieldID_51	FieldID_52	FieldID_53	FieldID_54	FieldID_55	FieldID_56	FieldID_57	FieldID_58	FieldID_59	FieldID_60	FieldID_61	FieldID_62	FieldID_63	FieldID_64	FieldID_65	FieldID_66	FieldID_67	FieldID_68	FieldID_69	FieldID_70	FieldID_71	FieldID_72	FieldID_73	FieldID_74	FieldID_75	FieldID_76	FieldID_77	FieldID_78	FieldID_79	FieldID_80	FieldID_81	FieldID_82	FieldID_83	FieldID_84	FieldID_85	FieldID_86	FieldID_87	FieldID_88
0	2	1	-3.757264e+001	6.698669e+005	1	3.609837e-002	0	0	0	0	1	4	2	0	0	0	0	0	4	4	1	5	4	0	2	1	5	0	0	1	6	0	0	0	5	3	0	2	0	3	2	3	0	3	0	0	0	1	0	1	0	0	3	1	0	0	0	6	0	0	1	0	1	6	1	0	6	1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	4	3	1	0	0	0	0	0	1	1	1	0	
0	2	2	-2.405284e+001	5.184387e+005	1	2.553090e-002	0	0	0	0	0	0	2	0	0	0	0	0	3	0	1	5	0	5	5	0	5	0	5	1	6	0	0	0	3	3	0	5	1	0	0	2	1	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	6	6	0	0	1	0	1	0	0	1	1	0	5	0	4	2	5	5	4	1	0	0	0	1	0	0	1	1	1	
0	2	3	-4.024936e+001	7.824461e+005	1	1.507615e-002	0	0	0	0	1	5	5	0	6	0	0	0	3	0	0	3	0	5	2	0	5	0	2	0	6	0	0	0	5	3	0	4	1	3	3	5	0	2	0	0	0	0	0	1	0	1	5	0	0	0	0	6	1	0	0	0	1	6	1	6	6	0	0	1	0	0	0	0	0	1	0	3	5	2	4	5	0	4	1	2	0	0	0	1	0	0	0	1	
0	2	4	-3.261845e+001	6.233316e+005	1	2.722508e-002	0	0	0	0	0	4	2	0	0	0	0	0	0	3	0	0	5	4	3	1	0	0	0	0	0	0	0	0	2	4	0	2	0	5	2	3	1	4	0	0	0	0	0	0	0	1	5	0	0	0	6	6	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	5	2	3	3	0	3	0	0	0	1	1	0	0	1	
0	2	5	-2.897309e+001	5.227592e+005	1	1.012318e-001	0	0	0	0	1	0	5	0	6	0	0	1	3	0	1	3	4	3	3	0	5	0	2	1	6	0	0	0	4	0	0	5	0	0	5	0	1	3	1	0	0	1	0	0	0	1	2	0	0	0	0	6	1	0	1	0	1	0	0	6	0	1	0	0	0	1	0	1	1	1	1	5	3	2	4	3	3	4	0	3	0	0	0	1	0	1	0	0	
0	2	6	-1.218500e+001	4.160640e+005	1	8.774870e-002	0	0	0	0	0	2	0	0	0	0	0	0	0	5	1	3	4	0	3	1	5	0	4	0	0	0	6	0	0	5	0	0	1	2	5	4	0	5	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	6	0	6	0	0	0	0	0	1	0	1	1	0	0	5	3	3	4	0	0	4	0	2	0	0	1	0	0	0	1	1	
0	2	7	-3.707282e+001	6.565942e+005	1	8.702853e-002	0	0	0	0	1	0	5	0	6	0	0	1	5	2	0	3	5	5	5	1	2	0	4	0	0	0	0	0	4	0	0	5	0	2	0	3	1	5	0	0	0	1	0	1	0	0	5	0	0	1	0	6	0	0	1	0	0	6	1	0	6	0	0	0	0	1	0	0	1	1	1	3	5	2	3	5	0	3	1	2	0	0	0	0	0	1	1	0	
0	2	8	-4.684042e+001	9.604032e+005	1	4.227379e-002	0	0	0	0	0	4	4	0	0	0	0	1	0	0	0	5	4	3	2	1	0	0	5	0	6	0	6	0	3	4	0	4	0	2	0	5	1	2	0	0	0	0	0	0	0	1	5	0	0	0	6	6	1	0	1	0	1	6	1	6	6	1	0	0	0	1	0	1	0	1	1	5	5	5	5	0	2	3	0	2	0	0	0	1	0	1	1	0	
0	2	9	-4.078773e+001	7.886352e+005	1	2.189971e-002	0	0	0	0	0	5	4	0	0	0	0	1	4	5	0	4	5	3	5	1	5	0	5	1	0	0	6	0	0	3	0	0	0	0	2	5	0	5	1	0	0	0	0	0	0	1	0	1	0	1	0	6	1	0	0	0	1	0	1	6	6	0	0	0	0	0	0	0	0	0	0	3	2	2	4	4	5	4	1	3	0	0	1	0	0	1	1	0	
0	2	10	-2.380230e+001	5.146425e+005	1	3.982359e-002	0	0	0	0	1	3	5	0	6	0	0	1	3	2	0	2	3	5	3	1	4	0	4	0	6	0	6	0	5	0	0	5	1	0	5	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	1	0	1	6	0	0	6	1	0	1	0	0	0	0	0	1	1	5	2	3	3	2	4	5	0	0	0	0	0	1	1	0	0	0	
